                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2012,                 1.7146,                 1.4199,                0.50988,                0.63318,                0.49106,                0.26785,                 1.7272,                 2.6462,                 1.9452,               0.005545,               0.005545,               0.005545
                     47,                 1.0964,                  1.442,                 1.3559,                 0.7376,                 0.7015,                0.74916,                0.49101,                 1.6516,                 2.2623,                 1.8466,               0.005446,               0.005446,               0.005446
                     48,                 1.1225,                 1.5099,                 1.3936,                0.68296,                0.60751,                0.67227,                0.42939,                 1.6298,                 2.3799,                 1.8339,               0.005347,               0.005347,               0.005347
                     49,                 1.1314,                 1.4627,                 1.3584,                0.63674,                0.77046,                0.73877,                0.49306,                  1.517,                 2.0667,                 1.7015,               0.005248,               0.005248,               0.005248
                     50,                 1.0701,                 1.3953,                 1.3475,                0.45296,                0.74637,                0.70429,                0.48924,                 1.5627,                 2.1978,                 1.7545,               0.005149,               0.005149,               0.005149
                     51,                 1.1059,                 1.4369,                 1.3293,                0.74135,                 0.4169,                0.69312,                0.46621,                 1.5272,                 2.2076,                 1.7583,                0.00505,                0.00505,                0.00505
                     52,                 1.0762,                 1.3352,                  1.333,                0.82463,                0.48621,                0.58817,                 0.3729,                 1.4608,                 2.0579,                 1.7264,               0.004951,               0.004951,               0.004951
                     53,                 1.0546,                 1.3976,                 1.3121,                0.78892,                0.44258,                0.49607,                0.29206,                 1.4791,                  2.215,                 1.6568,               0.004852,               0.004852,               0.004852
                     54,                 1.0294,                 1.4033,                 1.3135,                0.77989,                0.36742,                0.47466,                 0.2841,                 1.5271,                 2.4404,                 1.7005,               0.004753,               0.004753,               0.004753
                     55,                 1.0187,                 1.3319,                 1.2891,                0.56168,                0.81739,                0.77078,                0.49054,                  1.451,                 2.0558,                 1.6985,               0.004654,               0.004654,               0.004654
                     56,                 1.0693,                 1.3786,                   1.32,                0.49909,                 0.7879,                0.70657,                0.45101,                 1.4981,                 2.1354,                 1.7791,               0.004555,               0.004555,               0.004555
                     57,                  1.037,                 1.2982,                 1.3057,                0.70931,                0.46612,                0.68398,                0.43625,                 1.5546,                  2.366,                 1.8151,               0.004456,               0.004456,               0.004456
                     58,                 1.0193,                 1.2948,                 1.2873,                0.69206,                0.47567,                0.53306,                0.30752,                 1.5615,                 2.6411,                 1.8012,               0.004357,               0.004357,               0.004357
                     59,                0.99963,                 1.2561,                 1.2626,                0.76802,                0.42007,                0.40992,                0.24172,                 1.5346,                 2.7399,                 1.7751,               0.004258,               0.004258,               0.004258
                     60,                 1.0191,                 1.2324,                 1.2909,                 0.7644,                0.37091,                0.41852,                0.24204,                 1.5717,                  2.858,                 1.7853,               0.004159,               0.004159,               0.004159
                     61,                 0.9871,                 1.2955,                 1.2667,                0.73577,                0.42093,                0.69918,                0.47165,                 1.4881,                 2.2466,                 1.6827,                0.00406,                0.00406,                0.00406
                     62,                0.96191,                 1.2396,                 1.2753,                0.53014,                0.77157,                 0.7136,                0.51502,                 1.4174,                 2.0554,                 1.6473,               0.003961,               0.003961,               0.003961
                     63,                0.94837,                 1.1835,                 1.2618,                 0.7421,                0.64524,                0.69149,                0.47873,                 1.4407,                 2.1842,                   1.66,               0.003862,               0.003862,               0.003862
                     64,                0.99721,                 1.2771,                 1.2671,                0.77748,                0.40663,                0.51049,                0.33942,                 1.4621,                 2.3812,                 1.6795,               0.003763,               0.003763,               0.003763
                     65,                0.95545,                 1.1637,                 1.2437,                0.43066,                 0.6682,                0.58099,                 0.3899,                 1.5387,                 2.3226,                 1.7104,               0.003664,               0.003664,               0.003664
                     66,                0.90744,                 1.0766,                 1.2099,                0.40324,                0.65959,                0.57377,                0.37764,                 1.6011,                 2.4128,                 1.7603,               0.003565,               0.003565,               0.003565
                     67,                 0.9052,                 1.0974,                 1.2288,                0.62277,                  0.718,                0.69933,                0.36172,                 1.6223,                 2.3613,                 1.7284,               0.003466,               0.003466,               0.003466
                     68,                0.88268,                 1.1164,                 1.2093,                0.79922,                 0.4021,                0.69318,                0.43978,                 1.5773,                 2.3903,                 1.7462,               0.003367,               0.003367,               0.003367
                     69,                0.88719,                 1.1383,                 1.1901,                0.78568,                0.40057,                0.52932,                0.32773,                 1.5275,                 2.4802,                 1.7553,               0.003268,               0.003268,               0.003268
                     70,                    0.9,                  1.101,                 1.2142,                0.74166,                 0.4155,                0.69081,                0.43815,                 1.5118,                 2.3632,                 1.7601,               0.003169,               0.003169,               0.003169
                     71,                0.83682,                 1.0604,                 1.1675,                0.72714,                0.45797,                0.56818,                0.36364,                 1.5066,                 2.3194,                 1.7539,                0.00307,                0.00307,                0.00307
                     72,                0.85995,                 1.0511,                  1.177,                0.67912,                0.46424,                0.51901,                0.33846,                 1.4629,                 2.3328,                 1.7162,               0.002971,               0.002971,               0.002971
                     73,                0.82255,                 1.0352,                  1.166,                 0.6797,                0.43774,                0.44602,                0.30006,                 1.3878,                 2.4669,                 1.6507,               0.002872,               0.002872,               0.002872
                     74,                0.87319,                 1.2015,                  1.194,                0.70196,                0.44352,                 0.5018,                0.34249,                 1.3935,                 2.3326,                 1.6664,               0.002773,               0.002773,               0.002773
                     75,                0.85471,                 1.0069,                 1.1952,                0.63304,                0.51602,                 0.5643,                0.37451,                 1.4717,                 2.2369,                 1.7245,               0.002674,               0.002674,               0.002674
